frame_index,cpu_render_ms,cpu_cross_adapter_ms,cpu_end_to_end_ms,gpu_render_ms,gpu_copy_ms,estimated_bandwidth_gbs,cross_adapter_enabled,transfer_succeeded,notes
0,2.0327,0.0000,2.0341,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0, 1.5, 5), jitter=(0, 0.5)"
1,1.9248,0.0000,1.9267,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.0799966, 1.5, 4.99936), jitter=(0.103252, 0.481618)"
2,1.8856,0.0000,1.8864,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.159973, 1.5, 4.99744), jitter=(0.202052, 0.427823)"
3,1.8978,0.0000,1.8991,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.239908, 1.5, 4.99424), jitter=(0.292143, 0.34257)"
4,1.9121,0.0000,1.9128,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.319782, 1.5, 4.98976), jitter=(0.36964, 0.232129)"
5,1.9148,0.0000,1.9159,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.399573, 1.5, 4.98401), jitter=(0.431202, 0.104619)"
6,1.9078,0.0000,1.9094,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.479263, 1.5, 4.97698), jitter=(0.474176, -0.0305827)"
7,1.9097,0.0000,1.9108,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.55883, 1.5, 4.96867), jitter=(0.496709, -0.163536)"
8,1.8785,0.0000,1.8796,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.638254, 1.5, 4.9591), jitter=(0.49783, -0.284465)"
9,1.8830,0.0000,1.8840,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.717514, 1.5, 4.94825), jitter=(0.47749, -0.384477)"
10,1.8920,0.0000,1.8928,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.796591, 1.5, 4.93614), jitter=(0.436566, -0.456219)"
11,1.8927,0.0000,1.8935,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.875464, 1.5, 4.92276), jitter=(0.376823, -0.494416)"
12,1.8885,0.0000,1.8895,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(0.954113, 1.5, 4.90812), jitter=(0.300836, -0.496259)"
13,1.8975,0.0000,1.8986,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(1.03252, 1.5, 4.89223), jitter=(0.21188, -0.461612)"
14,1.8871,0.0000,1.8877,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(1.11066, 1.5, 4.87508), jitter=(0.11379, -0.393024)"
15,1.8858,0.0000,1.8864,1.8000,0.0000,0.0000,0,0,"Cross-adapter path disabled by configuration. | camera=viewOrigin=(1.18851, 1.5, 4.85669), jitter=(0.0107955, -0.295537)"
