frame_index,cpu_render_ms,cpu_cross_adapter_ms,cpu_end_to_end_ms,gpu_render_ms,gpu_copy_ms,estimated_bandwidth_gbs,cross_adapter_enabled,transfer_succeeded,notes
0,1.9731,4.2013,6.1771,1.8000,3.9237,13.0748,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0, 1.5, 5), jitter=(0, 0.5)"
1,1.9085,4.2093,6.1198,1.8000,3.9237,13.0501,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.0799966, 1.5, 4.99936), jitter=(0.103252, 0.481618)"
2,1.8814,4.2093,6.0922,1.8000,3.9237,13.0500,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.159973, 1.5, 4.99744), jitter=(0.202052, 0.427823)"
3,1.8821,4.2119,6.0956,1.8000,3.9237,13.0421,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.239908, 1.5, 4.99424), jitter=(0.292143, 0.34257)"
4,1.8967,4.2101,6.1085,1.8000,3.9237,13.0476,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.319782, 1.5, 4.98976), jitter=(0.36964, 0.232129)"
5,1.8895,4.2174,6.1087,1.8000,3.9237,13.0251,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.399573, 1.5, 4.98401), jitter=(0.431202, 0.104619)"
6,1.8995,4.2147,6.1159,1.8000,3.9237,13.0332,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.479263, 1.5, 4.97698), jitter=(0.474176, -0.0305827)"
7,1.8966,4.2181,6.1165,1.8000,3.9237,13.0229,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.55883, 1.5, 4.96867), jitter=(0.496709, -0.163536)"
8,1.8984,4.2519,6.1525,1.8000,3.9237,12.9192,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.638254, 1.5, 4.9591), jitter=(0.49783, -0.284465)"
9,1.8937,4.2108,6.1062,1.8000,3.9237,13.0454,1,1,"Transfer completed within provisional budget. | camera=viewOrigin=(0.717514, 1.5, 4.94825), jitter=(0.47749, -0.384477)"
